Question,Country,Age,Frequency of Use,Tech Knowledge,Facebook Users and Non-users,Answer,Total
How do you feel about Facebook?,Australia,35-44 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Pretty wary. I’m not real sure it’s good for me.,13
How do you feel about Facebook?,Australia,35-44 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Eh. I’m not sure about all this.,7
How do you feel about Facebook?,Australia,35-44 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,It’s cool. I enjoy it most days.,1
How do you feel about Facebook?,Australia,35-44 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Pretty wary. I’m not real sure it’s good for me.,14
How do you feel about Facebook?,Australia,35-44 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Scared as hell! Facebook is going to doom us all.,6
How do you feel about Facebook?,Australia,45-54 years old,Constant User,Average User:  I know enough to get by.,User,Eh. I’m not sure about all this.,2
How do you feel about Facebook?,Australia,45-54 years old,Constant User,Average User:  I know enough to get by.,User,I love it! I can’t imagine my life without it.,1
How do you feel about Facebook?,Australia,45-54 years old,Constant User,Average User:  I know enough to get by.,User,It’s cool. I enjoy it most days.,6
How do you feel about Facebook?,Australia,45-54 years old,Constant User,Average User:  I know enough to get by.,User,Pretty wary. I’m not real sure it’s good for me.,1
How do you feel about Facebook?,Australia,45-54 years old,Constant User,Average User:  I know enough to get by.,User,Scared as hell! Facebook is going to doom us all.,1
How do you feel about Facebook?,Australia,45-54 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Eh. I’m not sure about all this.,1
How do you feel about Facebook?,Australia,45-54 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,I love it! I can’t imagine my life without it.,2
How do you feel about Facebook?,Australia,45-54 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,It’s cool. I enjoy it most days.,2
How do you feel about Facebook?,Australia,45-54 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Pretty wary. I’m not real sure it’s good for me.,2
How do you feel about Facebook?,Australia,45-54 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Scared as hell! Facebook is going to doom us all.,1
How do you feel about Facebook?,Australia,45-54 years old,Daily User,Average User:  I know enough to get by.,User,Eh. I’m not sure about all this.,6
How do you feel about Facebook?,Australia,45-54 years old,Daily User,Average User:  I know enough to get by.,User,It’s cool. I enjoy it most days.,11
How do you feel about Facebook?,Australia,45-54 years old,Daily User,Average User:  I know enough to get by.,User,Pretty wary. I’m not real sure it’s good for me.,11
How do you feel about Facebook?,Australia,45-54 years old,Daily User,Average User:  I know enough to get by.,User,Scared as hell! Facebook is going to doom us all.,3
How do you feel about Facebook?,Australia,45-54 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,It’s cool. I enjoy it most days.,3
How do you feel about Facebook?,Australia,45-54 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Pretty wary. I’m not real sure it’s good for me.,2
How do you feel about Facebook?,Australia,45-54 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Eh. I’m not sure about all this.,6
How do you feel about Facebook?,Australia,45-54 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,I love it! I can’t imagine my life without it.,3
How do you feel about Facebook?,Australia,45-54 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,It’s cool. I enjoy it most days.,17
How do you feel about Facebook?,Australia,45-54 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Pretty wary. I’m not real sure it’s good for me.,16
How do you feel about Facebook?,Australia,45-54 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Scared as hell! Facebook is going to doom us all.,2
How do you feel about Facebook?,Australia,45-54 years old,Not on Facebook,Average User:  I know enough to get by.,Non-user,Pretty wary. I’m not real sure it’s good for me.,25
How do you feel about Facebook?,Australia,45-54 years old,Not on Facebook,Average User:  I know enough to get by.,Non-user,Scared as hell! Facebook is going to doom us all.,3
How do you feel about Facebook?,Australia,45-54 years old,Not on Facebook,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",Non-user,Eh. I’m not sure about all this.,1
How do you feel about Facebook?,Australia,45-54 years old,Not on Facebook,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",Non-user,Pretty wary. I’m not real sure it’s good for me.,7
How do you feel about Facebook?,Australia,45-54 years old,Not on Facebook,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",Non-user,Scared as hell! Facebook is going to doom us all.,4
How do you feel about Facebook?,Australia,45-54 years old,Not on Facebook,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",Non-user,Eh. I’m not sure about all this.,2
How do you feel about Facebook?,Australia,45-54 years old,Not on Facebook,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",Non-user,Pretty wary. I’m not real sure it’s good for me.,20
How do you feel about Facebook?,Australia,45-54 years old,Not on Facebook,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",Non-user,Scared as hell! Facebook is going to doom us all.,12
How do you feel about Facebook?,Australia,45-54 years old,Occasional User,Average User:  I know enough to get by.,User,Eh. I’m not sure about all this.,7
How do you feel about Facebook?,Australia,45-54 years old,Occasional User,Average User:  I know enough to get by.,User,It’s cool. I enjoy it most days.,1
How do you feel about Facebook?,Australia,45-54 years old,Occasional User,Average User:  I know enough to get by.,User,Pretty wary. I’m not real sure it’s good for me.,30
How do you feel about Facebook?,Australia,45-54 years old,Occasional User,Average User:  I know enough to get by.,User,Scared as hell! Facebook is going to doom us all.,2
How do you feel about Facebook?,Australia,45-54 years old,Occasional User,Luddite:  Technology scares me! I only use it when I have to.,User,Pretty wary. I’m not real sure it’s good for me.,1
How do you feel about Facebook?,Australia,45-54 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Pretty wary. I’m not real sure it’s good for me.,5
How do you feel about Facebook?,Australia,45-54 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Scared as hell! Facebook is going to doom us all.,3
How do you feel about Facebook?,Australia,45-54 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Eh. I’m not sure about all this.,11
How do you feel about Facebook?,Australia,45-54 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Pretty wary. I’m not real sure it’s good for me.,22
How do you feel about Facebook?,Australia,45-54 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Scared as hell! Facebook is going to doom us all.,9
How do you feel about Facebook?,Australia,55-64 years old,Constant User,Average User:  I know enough to get by.,User,Eh. I’m not sure about all this.,2
How do you feel about Facebook?,Australia,55-64 years old,Constant User,Average User:  I know enough to get by.,User,I love it! I can’t imagine my life without it.,3
How do you feel about Facebook?,Australia,55-64 years old,Constant User,Average User:  I know enough to get by.,User,It’s cool. I enjoy it most days.,6
How do you feel about Facebook?,Australia,55-64 years old,Constant User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,I love it! I can’t imagine my life without it.,1
How do you feel about Facebook?,Australia,55-64 years old,Constant User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,It’s cool. I enjoy it most days.,1
How do you feel about Facebook?,Australia,55-64 years old,Constant User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Scared as hell! Facebook is going to doom us all.,1
How do you feel about Facebook?,Australia,55-64 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Eh. I’m not sure about all this.,1
How do you feel about Facebook?,Australia,55-64 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,I love it! I can’t imagine my life without it.,4
How do you feel about Facebook?,Australia,55-64 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,It’s cool. I enjoy it most days.,9
How do you feel about Facebook?,Australia,55-64 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Pretty wary. I’m not real sure it’s good for me.,2
How do you feel about Facebook?,Australia,55-64 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Scared as hell! Facebook is going to doom us all.,1
How do you feel about Facebook?,Australia,55-64 years old,Daily User,Average User:  I know enough to get by.,User,Eh. I’m not sure about all this.,24
How do you feel about Facebook?,Australia,55-64 years old,Daily User,Average User:  I know enough to get by.,User,I love it! I can’t imagine my life without it.,2
How do you feel about Facebook?,Australia,55-64 years old,Daily User,Average User:  I know enough to get by.,User,It’s cool. I enjoy it most days.,40
How do you feel about Facebook?,Australia,55-64 years old,Daily User,Average User:  I know enough to get by.,User,Pretty wary. I’m not real sure it’s good for me.,34
How do you feel about Facebook?,Australia,55-64 years old,Daily User,Average User:  I know enough to get by.,User,Scared as hell! Facebook is going to doom us all.,5
How do you feel about Facebook?,Australia,55-64 years old,Daily User,Luddite:  Technology scares me! I only use it when I have to.,User,Eh. I’m not sure about all this.,2
